Row Labels,Count of address,Sum of inETH,Sum of wProfETH,avgYield,avgProf,waProf
0x51Ca31fc7eFB55db794378695eF3506AbA0883D2,1,291.7003824,159652.477,1.876297345,547.3166531,547.3166531
0x213657bCcC5CF8b74455d110C11D5A8eD6241DEC,1,155.7003264,83059.5771,3.426183898,533.4579511,533.4579511
0x1FcEC0f5B245Afa2B0ca81A785073d6F9DE790bb,3,1136.476267,600258.6343,0.620194359,196.2247291,528.1752483
0xD292b72e5C787f9F7E092aB7802aDDF76930981F,1,381.7920613,186389.4004,1.278696345,488.1961134,488.1961134
0xD761b97d8dbAaF908FDF6004B088d16E63Aa9222,3,731.3554085,351378.8843,1.0436745,194.3090826,480.4488765
0xC02ad7b9a9121fc849196E844DC869D2250DF3A6,1,420.2860868,201402.422,1.140183265,479.2031626,479.2031626
0x5d3183cB8967e3C9b605dc35081E5778EE462328,1,3.033162996,1429.385142,155.3666369,471.252334,471.252334
0xE4D3DF079FBEF6529c893Ee4E9298711d480fF35,2,500.4338708,231076.7298,6.961950747,846.5265169,461.7527776
0xa7A6440886C08DeB6BD1381e98ce0Fc3a061F9AF,1,419.835472,193662.787,1.098722248,461.2825735,461.2825735
0x43CC25B1fB6435d8d893fCf308de5C300a568BE2,1,10.227978,4707.712759,45.00185192,460.2779513,460.2779513
0xB1AdceddB2941033a090dD166a462fe1c2029484,1,66.87877752,30483.68036,6.81539054,455.8049876,455.8049876
0x43eD1E7DfC1A25D7E15B439Fe3EC8008B4A95226,1,39.77430467,17751.47413,11.22093978,446.3050775,446.3050775
0x8dA0a15786008f543A760701E2021f992e1C1CC5,2,344.2950472,153335.6213,0.629835098,230.1313144,445.361101
0xaf6aC9e4b68fb3DA8fb95faC1e072A2917b4f78f,1,19.6241467,8544.037324,22.18613101,435.3838897,435.3838897
0x5f9dba5B7A3b87ea70D82237cED41c7493598900,2,308.5059643,132282.9136,1.040428958,271.4852604,428.7855956
0xF929122994E177079c924631bA13Fb280F5CD1f9,2,128.6003983,54748.25454,5.949918513,397.1724834,425.7238333
0x22fa8Cc33a42320385Cbd3690eD60a021891Cb32,3,217.5191136,90778.02554,358.8975968,2324.472914,417.3335576
0x69eCC396747D292B26DdF6e00b733EE69c2eB778,1,7.986294778,3294.750804,51.65732347,412.5506127,412.5506127
0x8E949B62a177452f5B327B539eAA63802a3ab6A4,2,326.0854192,130684.5763,1.767990528,338.5331694,400.7679234
0xf50258FEACce0B34718E8608Baa1D220c3A8f221,1,42.30538815,16950.54059,9.470920371,400.6709625,400.6709625
0x9B9b12e8BCE494758E333DD050457679ba3e1A61,2,599.115521,238844.269,0.917753433,205.8671302,398.6614612
0x1E5CE6F088fD0adb4fCFf31Cfb02A61503311bE9,1,74.31681376,28897.50923,5.23222303,388.8421445,388.8421445
0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,1,593.5994787,227904.037,0.646792531,383.9357095,383.9357095
0xC026A3d789027B26C2037737192f33a38a7befDF,1,116.4021791,43181.99504,3.186988393,370.9723938,370.9723938
0xB6922671FC24bFe36589D3EcC051f0364DC67308,1,70.44977543,26115.34509,5.26182673,370.6945115,370.6945115
0x5047C5398009249Fa4ceBa72Ea706F82eea20649,1,183.2902365,67482.04039,2.008674388,368.1704038,368.1704038
0xEB4BD5231274aA4C2B97a4fA06bAD9eCFCdad5E0,2,94.70009751,34723.12749,13.4842698,208.3666794,366.6641155
0xcfc50541c3dEaf725ce738EF87Ace2Ad778Ba0C5,1,8.960229677,3282.68008,40.8874735,366.3611535,366.3611535
0x22F9dCF4647084d6C31b2765F6910cd85C178C18,5,2637.638744,957302.5224,0.562358206,273.0777754,362.9392101
0x6e3AA85dB95BBA36276a37ED93B12B7AB0782aFB,1,56.43925545,20468.46478,6.425733627,362.6636216,362.6636216
0xde77bb542310eb511B861e308dC874745bD3D4a7,1,39.65219883,14377.35679,9.144174391,362.5866211,362.5866211
0xFbea0772CEF0dbe743A18b132BFBb8F9eb0Bf0AA,2,165.1338377,59605.73856,15.71512032,256.4740496,360.9541169
0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,2,127.7609708,45933.67406,1.145913737,184.8301055,359.5282172
0xa485106562c2f2d3CD533d946Ea9E37509ee0E3d,1,276.5806421,97662.42355,1.276685531,353.1065038,353.1065038
